Name,GI,GL
Margarine,0,0
Marmalade (sugar free),30,22.2
Mashed Tomato,35,3.1
Mayonnaise (homemade),0,0
Medlar japanese plum,55,5.7
Melon pear (pepino),40,8
Milk,31,1.6
Milk chocolate,49,28.9
"Motley beans, borlotti, roman beans",35,12.4
Muesli (sugar free),50,23.6
"Muesli Bar, Gluten Free",50,37.1
Multi Grain Cookies,51,33.2
Mung Bean Mung,25,15.8
Mushrooms,15,0.8
Mushrooms (cooked),36,1.9
Mustard (with sugar),55,5.9
Mutton (Lamb),0,0
Natural milk,32,1.3
Nectarine (fresh fruit),35,4.1
Nuts (mix with raisins),21,9.8
Oat flour,25,3
Oat milk (raw),69,3.5
Oatmeal cookies,55,39.5
Olive oil,0,0
Olives,15,0.9
Omelette,49,7.3
Onion (fresh),15,1.6
Orache,53,34
Orange (fresh fruit),35,4.1
Orange juice,48,4.8
Orange juice (freshly squeezed and sugar free),45,4.8
Oregano,5,3.2
Palm pulp,20,1.2
Parsley,15,0.9
Parsley (cooked),52,3.3
Passion fruit,30,6.9
"Passion fruit, granadilla (fresh)",30,4
Pasta,50,15.4
Pasta (from durum wheat),50,11.6
Peach (canned in syrup),55,8.1
Peach (fresh fruit),35,4
Peanut,15,2.4
Peanut Butter (Sugar Free),25,7
Peanut Oil (Sugar Free),40,8.6
Peanuts (Dry Roasted),15,2.3
Pear (fresh fruit),30,4.7
Pear juice,50,5.5
Pears (dried),43,26.9
"Peas (frozen, boiled)",51,4.6
"Peas (green, fresh)",35,4.5
Peeled peas (fresh),25,15
"Pepino, melon pear",40,8
Perlovka,25,18.4
"Persimmon, persimmon eastern (fresh)",50,7.7
Pesto (sauce),15,0.9
Physalis,15,0.6
Pickled Cucumber,15,0.7
Pine nuts,15,1.9
Pine nuts,15,2.9
Pineapple Juice (unsweetened),50,6.8
Pineapple juice (sugar free),50,6.4
Pistachios,15,4.2
Plain / Spotted Beans (Fresh),35,5.9
Plantano (Raw),45,13.6
Platano (raw),45,14.4
Plums (fresh),35,3.9
Pomegranate (fresh),35,6.7
Pomelo,30,3
"Pomelo, sheddock (fresh)",25,2
Popcorn,55,40.7
Poppy seed,35,9.8
Pork cutlets,50,9.8
Prickly pear (fresh fruit),35,3.4
Prunes,40,25.6
Pumpernickel Bread,45,21.6
Pumpkin bread,40,17
Quince (canned / jelly without sugar),40,3.8
Quince (fresh fruit),35,3.4
Quinoa (cooked),35,7.3
Quinoa (unprepared),40,22.8
Quinoa flour,40,22.9
Rabbit,0,0
Rabbit (fried),0,0
Radish,15,0.5
Raspberries (fresh berries),25,3
Ratatouille,20,1
Ravioli (from durum wheat),40,11.6
Red beans,35,18.4
Red caviar,0,0
Red currant (fresh berry),25,1.9
Red rice,55,38.8
Rhubarb,15,0.4
Roast beef liver,50,0
Roast duck,0,0
Rye flakes,45,37.2
Rye flour (medium grinding),50,27.9
"Salad (""iceberg"", leaf, arugula, etc,)",15,0.3
Salted cucumbers,15,0.3
Sauerkraut,15,0.8
Sausages,28,6.7
Sausages,30,0.6
Scorzonera (Kozelec),30,0.3
Sea buckthorn,30,0.8
"Seafood (oysters, shrimp, mussels, etc,)",0,0
Seeds (pumpkin),25,13.5
Sesame,35,8.1
"Sesame paste, tahini",40,4.9
Sesame seed,35,4.3
Shallot,15,2.5
Sherbet,50,27.6
"Shortbread Cookies (Integral Flour, Sugar Free)",40,17.2
Skim cheese,30,0.4
Skim milk,27,0.1
Skim milk,31,1.5
Sorbet (sugar free),40,4.8
Sorrel,15,0
Soup with chicken and mushrooms,46,0.7
Sour cream,15,0.6
Sour cream (20%),25,0.8
Soy sauce,20,1
Soy vermicelli,30,24.6
Soy yogurt (natural),20,1.6
Soya cream,20,12.9
Soya flour,25,4.5
Soya milk,30,1.8
Soya milk ice cream,35,6
Soybean,15,4.5
